Date,Category,Vendor,Amount_USD,Note
2025-10-05,Groceries,Anki,75.88,Monthly expense logging
2025-10-11,Gas,Fischer,138.69,Monthly expense logging
2025-10-03,Coffee,Exxon,66.42,Monthly expense logging
2025-10-23,Gear,Spotify,106.97,Monthly expense logging
2025-10-07,Subscription,Spotify,130.52,Monthly expense logging
2025-10-25,Gas,Spotify,25.45,Monthly expense logging
2025-10-19,Gas,Campus Cafe,134.5,Monthly expense logging
2025-10-06,Subscription,Exxon,68.18,Monthly expense logging
2025-10-05,Gas,Anki,107.72,Monthly expense logging
2025-10-23,Coffee,Exxon,65.38,Monthly expense logging
2025-10-25,Groceries,Swix,132.86,Monthly expense logging
2025-10-20,Gas,Target,6.06,Monthly expense logging
2025-10-26,Gas,Campus Cafe,71.81,Monthly expense logging
2025-10-10,Gear,Aldi,71.83,Monthly expense logging
2025-10-10,Subscription,Target,7.91,Monthly expense logging
2025-10-23,Gear,Spotify,4.88,Monthly expense logging
2025-10-24,Groceries,Exxon,10.39,Monthly expense logging
2025-10-25,Gas,Aldi,52.81,Monthly expense logging
2025-10-24,Groceries,Fischer,38.6,Monthly expense logging
2025-10-08,Gas,Aldi,51.06,Monthly expense logging
2025-10-07,Groceries,Fischer,145.02,Monthly expense logging
2025-10-03,Groceries,Swix,120.78,Monthly expense logging
2025-10-16,Gear,Spotify,39.49,Monthly expense logging
2025-10-14,Coffee,Target,127.64,Monthly expense logging
2025-10-02,Gear,Swix,109.92,Monthly expense logging
2025-10-26,Subscription,Fischer,130.89,Monthly expense logging
2025-10-22,Groceries,Swix,105.44,Monthly expense logging
2025-10-25,Gas,Fischer,95.6,Monthly expense logging
2025-10-26,Groceries,Exxon,32.96,Monthly expense logging
2025-10-19,Gear,Fischer,91.16,Monthly expense logging
2025-10-12,Gear,Fischer,33.21,Monthly expense logging
2025-10-16,Groceries,Exxon,51.27,Monthly expense logging
2025-10-05,Coffee,Fischer,106.26,Monthly expense logging
2025-10-12,Gear,Fischer,98.83,Monthly expense logging
2025-10-21,Gas,Spotify,120.4,Monthly expense logging
2025-10-26,Groceries,Swix,26.33,Monthly expense logging
2025-10-20,Subscription,Target,126.48,Monthly expense logging
2025-10-09,Coffee,Exxon,12.51,Monthly expense logging
2025-10-23,Gas,Fischer,28.31,Monthly expense logging
2025-10-24,Coffee,Spotify,48.01,Monthly expense logging
2025-10-02,Gas,Spotify,115.23,Monthly expense logging
2025-10-07,Coffee,Campus Cafe,131.45,Monthly expense logging
2025-10-09,Subscription,Anki,62.62,Monthly expense logging
2025-10-07,Gear,Spotify,50.11,Monthly expense logging
2025-10-10,Subscription,Aldi,108.35,Monthly expense logging
2025-10-23,Coffee,Swix,117.58,Monthly expense logging
2025-10-28,Subscription,Anki,42.19,Monthly expense logging
2025-10-08,Subscription,Target,93.29,Monthly expense logging
2025-10-14,Subscription,Target,100.07,Monthly expense logging
2025-10-03,Gear,Spotify,64.75,Monthly expense logging
