Date,Activity_Type,Distance_km,Duration_sec,Elevation_m,Avg_HR,Max_HR
2026-04-01,Run,15.11,4741,498,158,176
2026-04-02,Roller Ski,11.33,3303,492,136,171
2026-04-03,Nordic Ski,25.34,8493,234,156,179
2026-04-04,Roller Ski,22.27,5814,372,138,179
2026-04-05,Roller Ski,6.52,2126,308,145,189
2026-04-06,Roller Ski,14.62,4119,216,133,175
2026-04-07,Nordic Ski,13.03,4670,209,138,165
2026-04-08,Nordic Ski,25.58,7085,363,159,183
2026-04-09,Roller Ski,7.19,2051,67,136,179
2026-04-10,Roller Ski,23.62,6612,266,141,173
2026-04-11,Roller Ski,11.0,3252,357,151,186
2026-04-12,Nordic Ski,9.96,2893,408,156,171
2026-04-13,Nordic Ski,12.0,4094,431,137,183
2026-04-14,Nordic Ski,24.33,6713,223,138,175
2026-04-15,Nordic Ski,26.03,8695,76,137,171
2026-04-16,Nordic Ski,8.42,2677,466,151,166
2026-04-17,Nordic Ski,15.32,4905,125,136,169
2026-04-18,Roller Ski,11.38,4397,422,146,174
2026-04-19,Roller Ski,17.78,6507,498,158,184
2026-04-20,Roller Ski,22.62,8800,207,143,172
2026-04-21,Nordic Ski,23.17,7028,53,153,180
2026-04-22,Run,8.83,2624,105,145,182
2026-04-23,Nordic Ski,27.82,8709,228,143,190
2026-04-24,Nordic Ski,12.72,4134,429,133,175
2026-04-25,Run,22.38,6749,78,150,190
2026-04-26,Run,11.93,3490,138,160,188
2026-04-27,Roller Ski,15.63,4662,489,148,175
2026-04-28,Run,26.45,7185,211,135,180
2026-04-29,Roller Ski,29.63,9801,456,135,182
2026-04-30,Roller Ski,27.56,10001,482,138,188
